@relation 'bad_mem_access_and_false_sharing-weka.filters.unsupervised.attribute.Remove-R3-8,10-13,15'

@attribute r0149 numeric
@attribute r0151 numeric
@attribute r20f0 numeric
@attribute r04b8 numeric
@attribute status {good,badfs,badma}

@data
15300.573982,10147018.5115,10137107.7641,3850907.46391,badfs
4398.738248,32199017.5476,61513639.1696,1784.750232,badma
3744.596092,2447536.50256,2479702.20254,112.588499,good
2805.68978,2448360.8569,2479551.94052,145.339871,good
27614.679229,32917889.5594,61528522.4739,823.943145,badma
2669.949936,2447241.24525,2482966.4272,1546.619419,good
4608.921827,7909712.12001,21082379.0709,3584586.24871,badfs
7209.831307,32577200.6282,61455090.0341,1884.598441,badma
2160.75558,2451633.76527,2491311.42966,1462.737235,good
9030.73065,8924849.9215,25549370.9172,3802332.39901,badfs
7297.574386,32995264.6044,60992024.3647,3563.78347,badma
2227.148338,2454007.26475,2470558.93845,992.280687,good
8422.698636,9433458.63912,27055568.2374,3652942.23725,badfs
10387.165583,33192608.8529,60427751.6255,5793.750909,badma
2550.463689,2448839.45947,2482435.85881,1151.21485,good
10980.82882,9140685.52615,24647005.4466,3265658.71964,badfs
13203.817115,33163048.652,60080582.808,6943.409212,badma
3817.376821,2449045.81608,2479595.44877,80.173457,good
3090.711079,2447777.79212,2478188.72554,45.549226,good
27486.139107,32918769.2759,61525978.1246,758.39973,badma
2358.252835,2448152.98545,2476185.33342,1498.757068,good
4845.53066,6304017.75806,8719838.28677,3349010.0214,badfs
6269.393859,32755775.8004,61397342.8648,1967.511914,badma
2661.206577,2447968.23579,2481059.27092,1112.921508,good
7064.648517,6550303.40699,9716351.56443,3631855.78015,badfs
6708.264534,33089859.7683,60764303.0887,3868.038936,badma
2043.097628,2448101.72451,2480575.23081,1166.178829,good
9557.625328,7829092.28462,11858131.3257,3558277.72566,badfs
12146.230501,33164969.7106,60309786.4578,5817.839737,badma
2171.083542,2442871.85022,2478909.09369,804.766286,good
12530.754911,8779831.76087,12327224.1444,3201712.56942,badfs
14953.775296,33171451.2441,60065748.7066,7827.554204,badma
3395.062355,2446842.32426,2456277.10001,97.995516,good
3547.188284,2447474.22603,2457722.08631,96.861355,good
23561.473934,32419870.0609,60543230.6973,846.061599,badma
1802.856449,2447512.22568,2449417.89454,963.759178,good
4279.255249,6295247.97602,8610793.06044,3385459.177,badfs
6751.049508,32245655.883,60366819.5747,1763.02762,badma
2183.799724,2447142.18472,2448599.40122,1077.015223,good
8189.331527,6486523.57798,9554512.47395,3590430.51463,badfs
9366.493993,32623730.7158,59742638.8613,4243.501051,badma
2120.516376,2446176.64966,2453800.56159,1047.876271,good
12163.961004,7730794.60032,11652022.928,3500641.40129,badfs
12789.379086,32695382.0136,59334117.5896,5570.335277,badma
2189.058219,2447942.04662,2451080.3649,909.481622,good
12207.361337,8654032.32133,12113157.8127,3139527.45926,badfs
15270.659664,32700721.8615,59014705.2705,8124.518892,badma
2105.200701,2446321.41696,2456799.64407,110.447767,good
2778.503714,2447256.26174,2457505.35275,112.605274,good
17585.027691,32416652.174,60535179.1019,843.831671,badma
2856.837266,2446701.6197,2451073.0815,390.375003,good
5073.441407,6279139.71938,8592273.17279,3377942.63416,badfs
8085.379129,32260733.9148,60378917.5051,1748.398898,badma
1854.020876,2447625.54267,2454765.15269,998.41061,good
7667.470097,6467843.72729,9555634.96869,3560207.52833,badfs
8810.509705,32636597.1022,59770843.9257,3749.33819,badma
2135.370773,2447717.0991,2454597.73497,758.926708,good
8194.273134,7729615.95821,11667157.7049,3504430.93749,badfs
9832.356715,32705023.4605,59250373.4286,6018.368589,badma
1995.432472,2446323.31722,2457032.82046,832.15472,good
10646.751922,8648872.11745,12107494.8782,3128967.29925,badfs
16239.429733,32696644.1054,59074323.038,7067.617713,badma
3031.742652,13346.812538,872.060498,158.15269,good
2440.341831,12827.318414,1029.422186,98.576149,good
3265.739604,17455.522327,3583.239379,759.406834,good
5251.653,3514468.31857,4094521.81924,2108520.74573,badfs
3983.309207,20773.289671,3079.338854,548.300249,good
9431.134934,4243104.10677,5017043.71305,2357745.94196,badfs
4621.312786,189838.04444,157501.357711,48609.766459,good
11348.320376,4427777.13567,5285402.7737,2343147.40887,badfs
6161.637322,495291.369139,576067.049576,235792.790954,good
13757.419014,4458417.5239,5397278.12987,2403680.507,badfs
1421.743292,8786.700824,928.127882,69.113858,good
1637.885146,8233.184916,1103.425478,77.397856,good
1895.896885,10914.272105,2995.517079,597.884625,good
4136.404674,3531001.87748,4113231.65923,2066940.64856,badfs
2608.696983,12382.591565,3069.221927,357.849569,good
7494.892032,4260024.89332,5076455.0802,2371483.75681,badfs
2842.722645,41153.984396,3067.652374,4886.055449,good
9026.617568,4373689.38557,5289623.63784,2355780.28616,badfs
3199.000729,576939.831623,922898.560923,247642.405522,good
11980.869331,4458393.23318,5378159.38603,2389957.31565,badfs
799.232021,5261.469537,563.66971,74.09001,good
683.607324,4756.846321,620.939144,83.981528,good
1260.397503,6673.177778,2750.476689,538.056318,good
3936.678711,3473509.82319,4059255.40943,1940802.3689,badfs
1287.912153,9717.064167,2646.411314,451.927594,good
6327.207204,4260772.88877,5099715.2807,2351842.19524,badfs
1533.669118,105363.769413,169115.995607,41710.814997,good
9948.660856,4371396.84992,5283549.43735,2376246.51518,badfs
1768.928774,572879.242597,1059520.95956,319775.286862,good
13949.62714,4432589.37014,5364633.2907,2402870.23938,badfs
